Show Title,Theatre,Gross,Avg. Tix,SeatsSold,Prev.,RegularShows,TotalPerf.
FOOL MOON 1995-1996,AMBASSADOR,2483746,19,69351,10,81,91
FOOTLOOSE,RICHARD RODGERS,37134917,47,780117,18,709,727
FOR COLORED GIRLS WHO HAVE CONSIDERED SUICIDE / WHEN THE RAINBOW IS ENUF,BOOTH,2067207,61,34577,23,51,74
FOREVER TANGO,SHUBERT,5518980,56,97257,13,187,200
Forever Tango 1997-1998,MARQUIS,13872413,40,350842,4,458,462
FORTUNE'S FOOL,MUSIC BOX,4318899,44,98735,28,127,155
FOSSE,BROADHURST,68997054,61,1121921,21,1093,1114
FOUR BABOONS ADORING,VIVIAN BEAUMONT,811304,0,45151,26,38,64
FRANKIE AND JOHNNY IN THE CLAIR DE LUNE,BROADHURST,3548264,64,57997,26,69,95
FRANKIE AND JOHNNY IN THE CLAIRE DE LUNE,BELASCO,11458493,56,195423,15,243,258
FRANKIE VALLI AND THE FOUR SEASONS ON BROADWAY,BROADWAY,2671259,128,21090,0,14,14
FREAK,CORT,5283095,34,158015,23,144,167
FREESTYLE LOVE SUPREME,BOOTH,17714172,114,152071,37,201,238
FROST/NIXON,JACOBS,9395227,65,141445,23,137,160
FROZEN,ST. JAMES,155193554,114,1359038,26,822,848
FROZEN 2004,CIRCLE,2252052,41,55085,6,128,134
